IP地址,端口,TLS,数据中心,下载速度(MB/s)
104.27.98.71,443,TRUE,N/A,0
104.24.154.135,443,TRUE,N/A,0
104.21.228.195,443,TRUE,N/A,0
104.25.207.168,443,TRUE,N/A,0
104.27.18.46,443,TRUE,N/A,0
104.25.182.180,443,TRUE,N/A,0
104.21.227.10,443,TRUE,N/A,0
104.24.151.7,443,TRUE,N/A,0
104.24.134.235,443,TRUE,N/A,0
104.21.71.62,443,TRUE,N/A,0
104.27.63.221,443,TRUE,N/A,0
172.67.128.144,443,TRUE,N/A,0
104.21.10.1,443,TRUE,N/A,0
172.67.135.91,443,TRUE,N/A,0
104.21.48.232,443,TRUE,N/A,0
172.65.110.213,443,TRUE,N/A,0
104.21.46.158,443,TRUE,N/A,0
172.65.193.123,443,TRUE,N/A,0
104.24.21.80,443,TRUE,N/A,0
172.66.193.71,443,TRUE,N/A,0
104.24.50.64,443,TRUE,N/A,0
172.65.116.26,443,TRUE,N/A,0
172.65.16.41,443,TRUE,N/A,0
104.25.208.134,443,TRUE,N/A,0
104.27.25.189,443,TRUE,N/A,0
172.65.188.240,443,TRUE,N/A,0
